,0
0,jamestown
1,hobart
2,yellowknife
3,catuday
4,ushuaia
5,cuxhaven
6,chokurdakh
7,matara
8,hermanus
9,rikitea
10,aleksandrov gay
11,sinnamary
12,saldanha
13,atuona
14,punta arenas
15,pahrump
16,samusu
17,dongsheng
18,bethel
19,flin flon
20,tuktoyaktuk
21,albany
22,illoqqortoormiut
23,dukat
24,mitu
25,kolyvan
26,finnsnes
27,hilo
28,marawi
29,mys shmidta
30,padang
31,naze
32,puerto ayora
33,praia da vitoria
34,kodiak
35,jinchang
36,chuy
37,bredasdorp
38,kapaa
39,saint anthony
40,arraial do cabo
41,mataura
42,sur
43,newport
44,camacha
45,griffith
46,savannah bight
47,faanui
48,kamenskoye
49,nefteabad
50,upernavik
51,souillac
52,torbay
53,hithadhoo
54,joshimath
55,alta floresta
56,jackson
57,vaini
58,alofi
59,novikovo
60,tibati
61,ukhta
62,bosaso
63,gayeri
64,port macquarie
65,burnie
66,avarua
67,aksu
68,batagay
69,auki
70,ganzhou
71,castro
72,hoima
73,taolanaro
74,new norfolk
75,vila velha
76,tsihombe
77,ijaki
78,yantal
79,tecoanapa
80,barbar
81,katsuura
82,airai
83,port alfred
84,banda aceh
85,dourbali
86,uige
87,ovalle
88,santa barbara
89,tilichiki
90,sibolga
91,carnarvon
92,bluff
93,saskylakh
94,east london
95,toul
96,devgarh
97,tautira
98,karasjok
99,beachwood
100,cape town
101,esperance
102,khatanga
103,mar del plata
104,fenyi
105,sambava
106,atambua
107,maceio
108,alyangula
109,tateyama
110,keti bandar
111,pevek
112,saint-joseph
113,klaksvik
114,san cristobal
115,te anau
116,nanortalik
117,cherskiy
118,andrews
119,attawapiskat
120,clyde river
121,abha
122,ancud
123,butaritari
124,imbituba
125,boli
126,virginia beach
127,dikson
128,boguchany
129,thoen
130,tiksi
131,green river
132,saint-philippe
133,iqaluit
134,panzhihua
135,busselton
136,laela
137,price
138,axim
139,mossendjo
140,cabo san lucas
141,sao filipe
142,broome
143,fukuma
144,solnechnyy
145,impfondo
146,ribeira grande
147,hambantota
148,hasaki
149,palabuhanratu
150,soyo
151,fortuna
152,chagda
153,kaitangata
154,twin falls
155,almeirim
156,amderma
157,teya
158,shitanjing
159,coolum beach
160,khandyga
161,tarudant
162,gbadolite
163,vila franca do campo
164,tasiilaq
165,norman wells
166,camocim
167,aykhal
168,bolungarvik
169,santa lucia
170,kedrovyy
171,baykit
172,saint-louis
173,bandarbeyla
174,waipawa
175,bathsheba
176,kahului
177,nizhneyansk
178,yunyang
179,jadu
180,pierre
181,port elizabeth
182,saleaula
183,pacific grove
184,pimenta bueno
185,beloha
186,kaoma
187,havre-saint-pierre
188,skive
189,hualmay
190,provideniya
191,aswan
192,lazaro cardenas
193,belmonte
194,lebu
195,carupano
196,codrington
197,kawalu
198,toccoa
199,athabasca
200,salisbury
201,rocha
202,oranjemund
203,mount gambier
204,chaiya
205,negombo
206,kazalinsk
207,beyneu
208,grand river south east
209,namatanai
210,kyzyl-suu
211,sentyabrskiy
212,karakendzha
213,khasan
214,ossora
215,marana
216,pitimbu
217,biltine
218,barbalha
219,makakilo city
220,opuwo
221,nago
222,hamilton
223,matamoros
224,marsh harbour
225,mayo
226,solovetskiy
227,emerald
228,evensk
229,ahipara
230,sitka
231,de-kastri
232,petropavlovsk-kamchatskiy
233,mandurah
234,severo-kurilsk
235,loandjili
236,beringovskiy
