,city,temp,humidity,clouds,wind_speed,lat,lon
0,jamestown,73.4,100,92,6.82,-19.783967333522057,-3.5076265701978286
1,hobart,-3.5,89,32,11.27,-69.93294996353193,146.25454862826018
2,yellowknife,-18.71,83,36,2.72,85.3159260050871,-111.93335614888831
3,catuday,77.59,100,0,0.47,17.52584228592697,118.04051571168014
4,ushuaia,-7.01,73,44,5.72,-88.11908958100317,-84.7608431649159
5,cuxhaven,30.2,86,75,3.6,54.15687973639734,8.21320531137198
6,chokurdakh,-25.96,80,12,2.47,84.12736372598405,148.82592258506145
7,matara,84.11,96,20,4.92,0.2794665029960868,80.38511781236173
8,hermanus,-12.5,73,32,4.12,-82.52619414753508,-0.46022491302997537
9,rikitea,79.97,100,24,3.77,-25.01202549785792,-131.19812529332654
10,aleksandrov gay,11.44,91,80,1.62,50.36568273235176,48.48853477095514
11,sinnamary,78.49,100,88,4.72,11.469975305469987,-50.5721483944798
12,saldanha,64.67,100,92,4.92,-36.88600020284368,10.364416333685483
13,atuona,79.16,97,12,8.17,0.8468458563103951,-142.5313895637187
14,punta arenas,39.92,95,92,8.32,-61.98333878566103,-96.20241077271295
15,pahrump,45.14,64,64,5.02,37.13292719287975,-116.88604952377676
16,samusu,81.73,100,92,6.17,-2.885248122135934,-162.13784995982297
17,dongsheng,26.96,49,20,6.57,38.385921804798244,109.51171924146706
18,bethel,42.8,92,92,16.62,52.075222304400086,-169.0415319696751
19,flin flon,-30.32,48,20,3.42,58.5236582440636,-102.50884773674905
20,tuktoyaktuk,-12.5,81,48,1.92,79.93836466088152,-129.54606591043517
21,albany,38.57,97,76,7.32,-53.438415169674784,108.37074709737232
22,illoqqortoormiut,-18.58,52,36,0.77,71.65194337395573,-24.233443257719244
23,dukat,-18.26,70,48,2.57,61.384631520836706,154.54670213754656
24,mitu,76.33,92,8,0.87,2.215423422128822,-70.08742644252025
25,kolyvan,-36.4,65,20,3.0,55.391467512481995,82.81070073900986
26,finnsnes,35.69,100,56,6.82,71.21947677484036,17.573381345576053
27,hilo,75.11,100,76,5.37,15.66144062966491,-153.77503716597738
28,marawi,56.53,33,0,5.27,20.40505056964625,32.94806348595495
29,mys shmidta,-5.03,83,64,5.12,88.89413115246532,-177.80309134074497
30,padang,79.93,100,32,2.52,-4.350847163154285,91.68282083294247
31,naze,60.89,100,0,4.37,28.012283545039764,131.4859578844173
32,puerto ayora,77.9,99,88,7.62,-2.756482560301393,-112.2393476928229
33,praia da vitoria,51.44,100,88,9.32,47.49692382095563,-24.150556854830825
34,kodiak,43.48,100,0,4.42,46.43562742723742,-160.30497179634907
35,jinchang,17.92,75,36,3.72,40.02876055696933,102.07309523002016
36,chuy,32.59,99,80,7.92,-61.05507431456117,-23.260558147297672
37,bredasdorp,61.07,100,0,3.87,-39.959624048098725,21.998270162743438
38,kapaa,69.22,100,64,7.17,26.671230486944495,-174.01910004411175
39,saint anthony,8.69,100,44,13.17,56.896995345973835,-56.17959483635482
40,arraial do cabo,53.06,100,24,9.87,-44.92622603359819,-21.96150544822055
41,mataura,53.47,100,76,12.57,-46.268570820863154,-141.96483327091622
42,sur,74.12,100,0,6.82,19.907993302763458,63.77887736634065
43,newport,-0.47,82,1,2.1,44.813039139858176,-72.36304329514735
44,camacha,60.89,100,0,8.82,36.35634642608197,-15.928604675156947
45,griffith,88.3,72,0,5.32,-34.196878072723074,144.93695610053862
46,savannah bight,76.01,100,88,3.32,18.44515486337602,-84.48825278870758
47,faanui,81.5,100,48,8.17,-5.394569666726781,-149.7329696802416
48,kamenskoye,14.81,78,88,6.72,62.94026211898273,164.47730888004634
49,nefteabad,29.39,83,48,0.72,40.26668091943333,70.66580652351237
50,upernavik,-29.96,50,0,6.02,83.55217462514324,-48.28574485176168
51,souillac,39.11,100,88,4.87,-51.20273942769995,72.27066426332127
52,torbay,51.17,100,92,6.17,44.31125269437666,-42.91928587154959
53,hithadhoo,77.45,100,92,4.42,-10.676498289827734,77.3428816763423
54,joshimath,-11.69,60,0,4.22,34.78117580141907,83.1519852026903
55,alta floresta,76.42,91,32,0.82,-9.41639963426897,-56.265661232859486
56,jackson,11.21,83,1,2.6,42.48327684160731,-110.78008963506733
57,vaini,74.35,100,0,5.57,-27.643997496145666,-179.80157701665235
58,alofi,75.52,100,0,4.87,-25.202289927462957,-166.23873693774104
59,novikovo,19.72,100,80,15.17,46.713680134685234,144.99214518823266
60,tibati,63.82,68,0,1.32,5.878266822885649,12.46681790839375
61,ukhta,-7.55,62,88,2.77,64.259718490511,53.469673282144555
62,bosaso,76.37,100,0,3.52,12.32704296532971,49.143499261387205
63,gayeri,62.69,55,0,1.32,13.262578349467773,0.43121821064030996
64,port macquarie,72.37,100,100,11.32,-34.22047371966723,160.97823259316857
65,burnie,58.24,100,0,1.67,-42.39404516444506,142.10946543763055
66,avarua,79.03,100,0,5.57,-18.699390032581007,-157.8311686784665
67,aksu,-5.75,71,80,4.02,50.87661640565693,77.41244214821234
68,batagay,-48.91,0,24,1.32,66.91532307343954,137.6655440958495
